Minute Index,Device Category,Region,Sessions,Revenue
25,tablet,Western Australia,1,0
26,desktop,New South Wales,2,0
26,desktop,Victoria,1,0
26,desktop,Western Australia,1,0
26,desktop,England,0,244
26,mobile,Australian Capital Territory,1,0
26,mobile,Victoria,3,0
26,mobile,New Jersey,1,0
26,mobile,Erbil Governorate,1,0
26,tablet,Western Australia,2,0
27,desktop,New South Wales,2,0
27,desktop,South Australia,1,0
27,desktop,Victoria,1,0
27,desktop,North Brabant,1,0
27,desktop,Bucharest,1,0
27,desktop,Muscat Governorate,1,0
27,mobile,New South Wales,3,0
27,mobile,Queensland,3,0
27,mobile,Victoria,2,0
27,mobile,Western Australia,3,0
28,desktop,Queensland,1,0
28,desktop,Western Australia,1,0
28,mobile,New South Wales,2,0
28,mobile,Queensland,2,0
28,mobile,Victoria,1,0
28,mobile,Western Australia,2,0
29,desktop,New South Wales,1,0
29,desktop,Victoria,3,0
29,mobile,New South Wales,2,0
29,mobile,Victoria,4,0
29,mobile,Western Australia,1,0
29,tablet,Australian Capital Territory,1,0
29,tablet,Victoria,1,0
30,desktop,New South Wales,1,0
30,desktop,South Australia,1,0
30,desktop,Victoria,1,0
30,desktop,Scotland,1,0
30,mobile,Australian Capital Territory,1,0
30,mobile,New South Wales,2,0
30,mobile,Queensland,1,0
30,mobile,Victoria,1,0
30,mobile,Western Australia,3,0
30,mobile,Scotland,1,0
30,tablet,Western Australia,1,0
31,desktop,(not set),7,0
31,desktop,New South Wales,1,0
31,desktop,Queensland,1,0
31,desktop,South Australia,1,0
31,mobile,(not set),5,0
31,mobile,New South Wales,1,0
31,mobile,Queensland,2,0
31,mobile,Victoria,1,0
31,mobile,Western Australia,2,0
31,tablet,South Australia,1,0
32,desktop,(not set),2,0
32,desktop,New South Wales,1,0
32,desktop,Queensland,2,0
32,desktop,Western Australia,2,0
32,desktop,England,1,0
32,mobile,(not set),2,0
32,mobile,New South Wales,2,0
32,mobile,Victoria,1,0
32,mobile,Western Australia,3,0
32,mobile,Calabarzon,1,0
32,tablet,Australian Capital Territory,2,0
33,desktop,New South Wales,1,0
33,mobile,Australian Capital Territory,1,0
33,mobile,New South Wales,3,75
33,mobile,Queensland,4,0
33,mobile,Western Australia,5,0
33,mobile,England,1,0
33,mobile,Bucharest,1,0
33,tablet,Ontario,1,0
34,desktop,Queensland,2,0
34,desktop,South Australia,0,279
34,desktop,Victoria,1,0
34,mobile,New South Wales,3,0
34,mobile,Queensland,1,0
34,mobile,South Australia,1,0
34,mobile,Victoria,1,0
34,mobile,Western Australia,4,0
34,mobile,Surat Thani,1,0
35,desktop,Victoria,1,0
35,desktop,Western Australia,1,0
35,mobile,New South Wales,4,0
35,mobile,Queensland,2,0
35,mobile,South Australia,1,0
35,mobile,Western Australia,2,0
35,mobile,England,1,0
35,tablet,New South Wales,2,0
35,tablet,Victoria,1,0
36,desktop,Queensland,1,0
36,desktop,South Australia,1,0
36,desktop,Western Australia,5,0
36,desktop,Wales,1,0
36,mobile,(not set),1,0
36,mobile,New South Wales,1,0
36,mobile,Queensland,2,0
36,mobile,South Australia,1,0
36,mobile,Victoria,2,0
36,mobile,England,1,0
36,tablet,New South Wales,1,0
36,tablet,Western Australia,1,0
36,tablet,England,1,0
37,desktop,New South Wales,1,0
37,desktop,Victoria,1,0
37,desktop,Western Australia,2,0
37,desktop,England,1,0
37,mobile,New South Wales,2,0
37,mobile,Queensland,1,0
37,mobile,Victoria,1,0
37,mobile,Western Australia,2,0
37,tablet,Queensland,1,0
37,tablet,Western Australia,1,0
38,desktop,New South Wales,1,0
38,desktop,Queensland,2,0
38,desktop,England,1,0
38,mobile,New South Wales,3,0
38,mobile,Queensland,2,0
38,mobile,South Australia,1,0
38,mobile,Victoria,1,0
38,mobile,England,1,0
38,tablet,Queensland,1,0
39,desktop,New South Wales,1,0
39,desktop,Queensland,1,98
39,desktop,Victoria,1,0
39,desktop,Western Australia,2,0
39,mobile,New South Wales,1,0
39,mobile,Victoria,3,0
39,mobile,Western Australia,2,0
39,mobile,Washington,1,0
39,tablet,Queensland,1,0
39,tablet,South Australia,2,0
39,tablet,England,1,0
39,tablet,Wales,1,0
40,desktop,New South Wales,1,125
40,desktop,Victoria,3,0
40,desktop,England,1,0
40,mobile,New South Wales,4,0
40,mobile,Queensland,4,0
40,mobile,Victoria,3,0
40,mobile,Western Australia,1,0
40,tablet,South Australia,2,0
41,desktop,Queensland,1,0
41,desktop,Victoria,1,0
41,desktop,Western Australia,2,0
41,desktop,England,2,0
41,mobile,New South Wales,5,0
41,mobile,Queensland,1,0
41,mobile,Victoria,4,0
41,mobile,Western Australia,7,0
41,mobile,Maryland,1,0
41,tablet,South Australia,1,0
41,tablet,Arizona,1,0
42,desktop,Queensland,1,0
42,desktop,Victoria,2,0
42,desktop,Western Australia,2,188
42,mobile,New South Wales,5,0
42,mobile,Queensland,1,0
42,mobile,South Australia,2,0
42,mobile,Victoria,2,0
42,mobile,Western Australia,8,0
42,mobile,Auckland,1,0
42,tablet,South Australia,1,0
43,desktop,New South Wales,1,0
43,desktop,Northern Territory,1,0
43,desktop,Queensland,1,0
43,desktop,Victoria,1,0
43,desktop,Western Australia,1,0
43,desktop,Ontario,1,0
43,desktop,England,1,0
43,desktop,Central Visayas,1,0
43,mobile,New South Wales,1,0
43,mobile,Western Australia,1,0
44,desktop,Queensland,2,0
44,desktop,Victoria,2,0
44,desktop,Western Australia,3,0
44,desktop,Central Visayas,1,0
44,mobile,New South Wales,2,0
44,mobile,Queensland,2,0
44,mobile,South Australia,1,0
44,mobile,Victoria,2,0
44,mobile,Western Australia,1,0
44,tablet,Australian Capital Territory,1,0
44,tablet,South Australia,2,0
45,desktop,Western Australia,2,0
45,mobile,New South Wales,4,0
45,mobile,Queensland,1,0
45,mobile,Victoria,3,0
45,mobile,Western Australia,2,0
45,mobile,England,1,0
45,mobile,Selangor,1,0
45,tablet,South Australia,1,0
46,desktop,(not set),1,0
46,desktop,South Australia,1,0
46,desktop,Victoria,1,0
46,desktop,Western Australia,1,50
46,desktop,England,1,0
46,mobile,Queensland,3,0
46,mobile,South Australia,1,0
46,mobile,Victoria,5,0
46,mobile,Western Australia,3,369
46,mobile,England,1,0
46,tablet,Western Australia,2,0
47,desktop,(not set),2,0
47,desktop,New South Wales,1,0
47,desktop,South Australia,1,0
47,mobile,(not set),3,0
47,mobile,New South Wales,6,0
47,mobile,Queensland,1,0
47,mobile,South Australia,2,0
47,mobile,Victoria,3,0
47,mobile,Western Australia,3,0
47,mobile,Kentucky,1,0
47,tablet,Victoria,1,0
47,tablet,Western Australia,1,0
48,desktop,(not set),3,0
48,desktop,Western Australia,1,0
48,desktop,England,1,0
48,mobile,(not set),1,0
48,mobile,Queensland,2,0
48,mobile,Victoria,3,0
48,mobile,Western Australia,2,0
48,mobile,England,1,0
48,mobile,Metro Manila,1,0
48,tablet,Victoria,2,0
49,desktop,New South Wales,2,0
49,desktop,Western Australia,2,0
49,desktop,England,1,0
49,mobile,Queensland,1,0
49,mobile,Victoria,3,0
49,mobile,Western Australia,1,0
49,mobile,England,1,0
50,desktop,New South Wales,2,0
50,desktop,Queensland,1,0
50,desktop,Western Australia,2,0
50,desktop,England,2,0
50,desktop,Bangkok,1,0
50,mobile,New South Wales,1,0
50,mobile,Queensland,1,0
50,mobile,Victoria,1,0
50,tablet,Western Australia,1,0
51,desktop,New South Wales,2,0
51,desktop,Western Australia,2,0
51,mobile,New South Wales,7,0
51,mobile,Victoria,2,0
51,mobile,Vienna,1,0
51,tablet,Queensland,1,0
51,tablet,Victoria,1,0
52,desktop,(not set),1,0
52,desktop,Queensland,1,0
52,desktop,Western Australia,1,0
52,desktop,England,0,166.95
52,mobile,Australian Capital Territory,1,0
52,mobile,Victoria,1,0
52,mobile,Western Australia,1,0
52,mobile,Auckland,1,0
